Date;Close;Open;High;Low;Volume;Adj Close
04/27/2018;91.54;91.56;91.99;91.49;;91.54
04/26/2018;91.56;91.21;91.64;90.96;;91.56
04/25/2018;91.17;90.76;91.26;90.75;;91.17
04/24/2018;90.77;90.92;91.08;90.71;;90.77
04/23/2018;90.95;90.35;90.98;90.32;;90.95
04/20/2018;90.32;89.90;90.48;89.89;;90.32
04/19/2018;89.94;89.62;89.95;89.50;;89.94
04/18/2018;89.62;89.50;89.78;89.45;;89.62
04/17/2018;89.52;89.41;89.67;89.23;;89.52
04/16/2018;89.42;89.77;89.85;89.39;;89.42
04/13/2018;89.80;89.76;89.88;89.66;;89.80
04/12/2018;89.75;89.52;89.96;89.44;;89.75
04/11/2018;89.57;89.58;89.67;89.36;;89.57
04/10/2018;89.59;89.83;89.97;89.54;;89.59
04/09/2018;89.84;90.07;90.27;89.82;;89.84
04/06/2018;90.11;90.38;90.60;90.07;;90.11
04/05/2018;90.46;90.09;90.59;90.07;;90.46
04/04/2018;90.14;90.16;90.23;89.92;;90.14
04/03/2018;90.20;90.02;90.28;89.85;;90.20
04/02/2018;90.05;89.97;90.15;89.82;;90.05
03/30/2018;89.97;90.10;90.12;89.88;;89.97
03/29/2018;90.15;90.11;90.18;89.90;;90.15
03/28/2018;90.06;89.32;90.15;89.25;;90.06
03/27/2018;89.33;89.02;89.63;88.94;;89.33
03/26/2018;89.03;89.47;89.52;88.98;;89.03
03/23/2018;89.48;89.67;89.74;89.40;;89.48
03/22/2018;89.86;89.65;89.96;89.40;;89.86
03/21/2018;89.78;90.41;90.40;89.63;;89.78
03/20/2018;90.37;89.88;90.44;89.85;;90.37
03/19/2018;89.77;90.20;90.34;89.76;;89.77
03/16/2018;90.23;90.14;90.38;89.89;;90.23
03/15/2018;90.14;89.75;90.17;89.62;;90.14
03/14/2018;89.70;89.70;89.89;89.56;;89.70
03/13/2018;89.66;89.91;90.11;89.59;;89.66
03/12/2018;89.89;90.11;90.19;89.84;;89.89
03/09/2018;90.09;90.20;90.36;90.00;;90.09
03/08/2018;90.18;89.59;90.23;89.44;;90.18
03/07/2018;89.64;89.51;89.78;89.41;;89.64
03/06/2018;89.62;89.96;90.06;89.43;;89.62
03/05/2018;90.08;89.83;90.22;89.83;;90.08
03/02/2018;89.94;90.25;90.29;89.88;;89.94
03/01/2018;90.32;90.67;90.93;90.21;;90.32
02/28/2018;90.61;90.41;90.70;90.31;;90.61
02/27/2018;90.36;89.80;90.50;89.69;;90.36
02/26/2018;89.85;89.96;90.05;89.50;;89.85
02/23/2018;89.88;89.78;90.06;89.76;;89.88
02/22/2018;89.74;90.16;90.23;89.64;;89.74
02/21/2018;90.00;89.71;90.16;89.59;;90.00
02/20/2018;89.72;89.24;89.80;89.22;;89.72
02/19/2018;89.10;89.10;89.44;88.95;;89.10
02/16/2018;89.10;88.57;89.23;88.25;;89.10
02/15/2018;88.59;88.96;89.00;88.54;;88.59
02/14/2018;89.12;89.69;90.12;88.94;;89.12
02/13/2018;89.70;90.09;90.18;89.61;;89.70
02/12/2018;90.21;90.35;90.43;90.07;;90.21
02/09/2018;90.44;90.25;90.56;90.12;;90.44
02/08/2018;90.23;90.27;90.57;90.01;;90.23
02/07/2018;90.25;89.63;90.40;89.47;;90.25
02/06/2018;89.58;89.66;90.03;89.37;;89.58
02/05/2018;89.55;89.35;89.70;89.02;;89.55
02/02/2018;89.19;88.64;89.42;88.59;;89.19
02/01/2018;88.67;89.04;89.33;88.56;;88.67
01/31/2018;89.13;89.10;89.30;88.78;;89.13
01/30/2018;89.16;89.36;89.64;88.91;;89.16
01/29/2018;89.31;89.11;89.62;89.01;;89.31
01/26/2018;89.07;89.40;89.40;88.72;;89.07
01/25/2018;89.39;89.32;89.58;88.44;;89.39
01/24/2018;89.21;90.00;90.11;89.16;;89.21
01/23/2018;90.12;90.39;90.59;90.06;;90.12
01/22/2018;90.40;90.44;90.70;90.35;;90.40
01/19/2018;90.57;90.50;90.70;90.16;;90.57
01/18/2018;90.50;90.78;90.98;90.41;;90.50
01/17/2018;90.54;90.41;91.00;90.11;;90.54
01/16/2018;90.39;90.44;90.82;90.34;;90.39
01/15/2018;90.97;90.94;90.94;90.28;;90.97
01/12/2018;90.97;91.85;91.88;90.90;;90.97
01/11/2018;91.85;92.33;92.55;91.79;;91.85
01/10/2018;92.33;92.57;92.57;91.92;;92.33
01/09/2018;92.53;92.34;92.64;92.21;;92.53
01/08/2018;92.36;92.06;92.40;91.88;;92.36
01/05/2018;91.95;91.87;92.10;91.78;;91.95
01/04/2018;91.85;92.22;92.26;91.80;;91.85
01/03/2018;92.16;91.82;92.26;91.81;;92.16
01/02/2018;91.87;92.24;92.25;91.75;;91.87
01/01/2018;92.25;92.29;92.32;92.18;;92.25
12/31/2017;92.28;92.28;92.28;92.28;;92.28
12/29/2017;92.12;92.67;92.67;92.08;;92.12
12/28/2017;92.60;93.00;93.02;92.57;;92.60
12/27/2017;93.03;93.30;93.31;92.96;;93.03
12/26/2017;93.26;93.25;93.40;93.20;;93.26
12/25/2017;93.35;93.37;93.40;93.19;;93.35
12/22/2017;93.35;93.37;93.56;93.31;;93.35
12/21/2017;93.28;93.31;93.50;93.23;;93.28
12/20/2017;93.31;93.50;93.53;93.16;;93.31
12/19/2017;93.44;93.71;93.76;93.43;;93.44
12/18/2017;93.69;93.98;94.03;93.38;;93.69
12/15/2017;93.93;93.65;94.00;93.41;;93.93
12/14/2017;93.49;93.41;93.76;93.28;;93.49
12/13/2017;93.43;94.06;94.11;93.39;;93.43
12/12/2017;94.10;93.91;94.22;93.76;;94.10
12/11/2017;93.87;93.93;93.98;93.67;;93.87
12/08/2017;93.90;93.79;94.09;93.77;;93.90
12/07/2017;93.80;93.54;93.80;93.51;;93.80
12/06/2017;93.61;93.31;93.65;93.17;;93.61
12/05/2017;93.38;93.08;93.49;93.03;;93.38
12/04/2017;93.19;93.17;93.36;93.07;;93.19
12/01/2017;92.89;93.03;93.25;92.60;;92.89
11/30/2017;93.05;93.26;93.50;92.73;;93.05
11/29/2017;93.16;93.22;93.44;92.99;;93.16
11/28/2017;93.27;92.89;93.34;92.83;;93.27
11/27/2017;92.90;92.73;92.98;92.50;;92.90
11/24/2017;92.78;93.12;93.25;92.67;;92.78
11/23/2017;93.22;93.30;93.31;93.07;;93.22
11/22/2017;93.22;93.93;93.96;93.21;;93.22
11/21/2017;93.95;94.04;94.17;93.88;;93.95
11/20/2017;94.08;93.71;94.10;93.58;;94.08
11/17/2017;93.66;93.87;93.93;93.51;;93.66
11/16/2017;93.93;93.84;94.00;93.77;;93.93
11/15/2017;93.81;93.86;93.93;93.40;;93.81
11/14/2017;93.83;94.52;94.54;93.75;;93.83
